Ranking;Artilharia;Posição;Gols
1;Kaio Jorge;Atacante;13
2;Vegetti;Atacante;10
;Arrascaeta;Meio-campo;10
3;Pedro Raul;Atacante;7
;Reinaldo;Lateral-esquerdo;7
4;Isidro Pitta;Atacante;6
;Braithwaite;Atacante;6
5;Barreal;Meio-campo;5
;Yuri Alberto;Atacante;5
;André Silva;Atacante;5
;Pedro;Atacante;5
;Renato Kayzer;Atacante;5
6;Gabriel;Atacante;4
;Alan Patrick;Meio-campo;4
;Flaco López;Atacante;4
;Luciano Juba;Lateral-esquerdo;4
;Memphis Depay;Atacante;4
;Ferreira;Atacante;4
;Facundo Torres;Meio-campo;4
;Cano;Atacante;4
;Hulk;Atacante;4
;Vitor Roque;Atacante;4
;Galeano;Atacante;4
;Luciano;Atacante;4
;Chico da Costa;Atacante;4
7;Rony;Atacante;3
;Léo Pereira;Zagueiro esquerdo;3
;Nuno Moreira;Meio-campo;3
;Gabriel Taliari;Atacante;3
;Lucero;Atacante;3
;Laquintana;Atacante;3
;Igor Jesus;Atacante;3
;Borré;Atacante;3
;Piquerez;Lateral-esquerdo;3
;Eduardo Sasha;Atacante;3
;Rayan;Atacante;3
;Gabriel;Meio-campo;3
;Igor Gomes;Meio-campo;3
;Batalla;Atacante;3
;Cristian Olivera;Atacante;3
;Deyverson;Atacante;3
;Edson Carioca;Atacante;3
;Christian;Volante;3
;Serna;Atacante;3
;Matheus Pereira;Meio-campo;3
;Ricardo Mathias;Atacante;3
;Michel Araújo;Meio-campo;3
;Maurício;Meio-campo;3
;Arboleda;Zagueiro direito;3
;Guilherme;Atacante;3
