Rodada;Time Casa;Gols Casa;Gols Fora;Time Fora
1ª RODADA;Cruzeiro;2;1;Mirassol
;Fortaleza;2;0;Fluminense
;Grêmio;2;1;Atlético-MG
;Juventude;2;0;Vitória
;São Paulo;0;0;Sport
;Flamengo;1;1;Internacional
;Palmeiras;0;0;Botafogo
;Vasco;2;1;Santos
;Bahia;1;1;Corinthians
;Bragantino;2;2;Ceará
;;;;
2ª RODADA;Corinthians;3;0;Vasco
;Ceará;2;0;Grêmio
;Botafogo;2;0;Juventude
;Fluminense;2;1;Bragantino
;Internacional;3;0;Cruzeiro
;Mirassol;1;1;Fortaleza
;Sport;1;2;Palmeiras
;Vitória;1;2;Flamengo
;Santos;2;2;Bahia
;Atlético-MG;0;0;São Paulo
;;;;
3ª RODADA ;Bragantino;1;0;Botafogo
;Juventude;2;1;Ceará
;Palmeiras;2;0;Corinthians
;Fluminense;1;0;Santos
;Atlético-MG;2;2;Vitória
;Grêmio;0;2;Flamengo
;Paulo;1;1;Cruzeiro
;Bahia;1;1;Mirassol
;Fortaleza;0;0;Internacional
;Vasco;3;1;Sport
;;;;
4ª RODADA ;Flamengo;6;0;Juventude
;Santos;2;0;Atlético-MG
;Mirassol;4;1;Grêmio
;Vitória;2;1;Fortaleza
;Botafogo;2;2;São Paulo
;Internacional;0;1;Palmeiras
;Ceará;2;1;Vasco
;Corinthians;0;2;Fluminense
;Sport;0;1;Bragantino
;Cruzeiro;3;0;Bahia
;;;;
5ª RODADA ;Corinthians;2;1;Sport
;Vasco;0;0;Flamengo
;Bahia;1;0;Ceará
;Fluminense;1;1;Vitória
;Fortaleza;1;2;Palmeiras
;Atlético-MG;1;0;Botafogo
;São Paulo;2;1;Santos
;Grêmio;1;1;Internacional
;Bragantino;1;0;Cruzeiro
;Juventude;2;2;Mirassol
;;;;
6ª RODADA ;Botafogo;2;0;Fluminense
;Flamengo;4;0;Corinthians
;Palmeiras;0;1;Bahia
;Cruzeiro;1;0;Vasco
;Internacional;3;1;Juventude
;Sport;0;0;Fortaleza
;Ceará;1;1;São Paulo
;Mirassol;2;2;Atlético-MG
;Vitória;1;1;Grêmio
;Santos;1;1;Bragantino
;;;;
7ª RODADA ;Corinthians;4;2;Internacional
