Time;Jogos com público como mandante;Média de público pagante;Taxa de ocupação (%)
Corinthians;9;40.370;83,2
Palmeiras;9;31.978;79,8
Bahia;9;36.936;78,2
Flamengo;10;53.721;77,8
Cruzeiro;10;41.051;74,6
Santos;8;17.317;70,6
Sport;8;16.715;68,4
Vasco;9;21.151;64,7
São Paulo;10;38.305;58,9
Ceará;9;33.856;58,7
Vitória;9;17.406;56,9
Atlético-MG;7;23.783;52
Bragantino;10;51.69;49,3
Internacional;9;23.616;46,5
Botafogo;8;16.609;44,5
Fluminense;8;28.063;41,4
Mirassol;8;61.96;41,3
Grêmio;9;22.144;40,1
Fortaleza;10;20.799;37,8
Juventude;9;7.134;33,5
