Classificação;;P;J;V;E;D;GP;GC;SG;%;CA;CV;
1;Flamengo;40;18;12;4;2;33;8;25;74;34;1;
2;Cruzeiro;37;19;11;4;4;31;13;18;64;47;2;
3;Palmeiras;36;17;11;3;3;23;15;8;70;43;2;
4;Bahia;30;17;8;6;3;23;16;7;58;38;2;
5;Botafogo;29;17;8;5;4;23;10;13;56;36;1;
6;Mirassol;28;17;7;7;3;28;18;10;54;46;2;
7;São Paulo;28;19;7;7;5;22;20;2;49;62;4;
8;Bragantino;27;19;8;3;8;22;25;-3;47;50;4;
9;Fluminense;24;17;7;3;7;21;23;-2;47;30;1;
10;Atlético-MG;24;17;6;6;5;19;18;1;47;43;2;
11;Internacional;24;18;6;6;6;21;23;-2;44;31;2;
12;Ceará;22;18;6;4;8;18;19;-1;40;44;1;
13;Corinthians;22;19;5;7;7;18;23;-5;38;59;3;
14;Santos;21;18;6;3;9;20;23;-3;38;47;3;
15;Grêmio;20;18;5;5;8;16;24;-8;37;56;1;
16;Vitória;18;19;3;9;7;16;22;-6;31;54;3;
17;Vasco;16;17;4;4;9;19;24;-5;31;37;2;
18;Fortaleza;15;18;3;6;9;18;29;-11;27;51;6;
19;Juventude;14;17;4;2;11;13;36;-23;27;50;2;
20;Sport;9;17;1;6;10;10;25;-15;17;42;0;
